BHK,Area,Is_Resale,Location,Status,Floor,Furnishing,Facing,Bathrooms,Balcony,Price
2.0,700.0,1,nagpur,Ready to Move,3 out of 3,Unfurnished,West,2.0,1.0,3100000.0
2.0,750.0,1,nagpur,Ready to Move,3 out of 4,Semi-Furnished,East,2.0,3.0,4500000.0
3.0,1100.0,1,nagpur,Ready to Move,1 out of 5,Unfurnished,East,3.0,3.0,12500000.0
3.0,1100.0,1,nagpur,Ready to Move,3 out of 4,Semi-Furnished,East,2.0,2.0,7500000.0
2.0,800.0,1,nagpur,Ready to Move,4 out of 5,Unfurnished,East,2.0,2.0,6200000.0
2.0,1000.0,1,nagpur,Ready to Move,Ground out of 3,Semi-Furnished,North,2.0,2.0,8000000.0
3.0,1100.0,0,nagpur,Ready to Move,2 out of 4,Semi-Furnished,West,3.0,3.0,7000000.0
2.0,700.0,1,nagpur,Ready to Move,2 out of 4,Semi-Furnished,West,2.0,2.0,4200000.0
2.0,825.0,1,nagpur,Ready to Move,3 out of 4,Unfurnished,North,2.0,2.0,5800000.0
2.0,790.0,1,nagpur,Ready to Move,1 out of 3,Semi-Furnished,East,2.0,2.0,4200000.0
3.0,1400.0,1,nagpur,Ready to Move,5 out of 6,Unfurnished,East,3.0,2.0,11500000.0
2.0,700.0,1,nagpur,Ready to Move,1 out of 4,Semi-Furnished,East,2.0,1.0,3900000.0
2.0,650.0,1,nagpur,Ready to Move,3 out of 5,Semi-Furnished,West,2.0,2.0,4500000.0
2.0,860.0,1,nagpur,Ready to Move,2 out of 3,Unfurnished,East,2.0,2.0,5500000.0
3.0,800.0,0,nagpur,Ready to Move,4 out of 4,Unfurnished,East,2.0,3.0,4000000.0
2.0,750.0,0,nagpur,Ready to Move,4 out of 5,Unfurnished,East,2.0,3.0,3600000.0
2.0,1100.0,1,nagpur,Ready to Move,2 out of 4,Semi-Furnished,North,2.0,3.0,3500000.0
2.0,943.0,0,nagpur,Ready to Move,2 out of 16,Unfurnished,East,2.0,2.0,5610000.0
3.0,850.0,0,nagpur,Ready to Move,4 out of 5,Unfurnished,East,2.0,3.0,4500000.0
2.0,760.0,0,mumbai,Ready to Move,20 out of 21,Unfurnished,East,2.0,1.0,28100000.0
4.0,1730.0,1,mumbai,Ready to Move,18 out of 29,Unfurnished,North - East,5.0,2.0,74900000.0
2.0,650.0,0,mumbai,Ready to Move,13 out of 14,Semi-Furnished,North - East,2.0,3.0,8500000.0
2.0,941.0,1,mumbai,Ready to Move,2 out of 7,Semi-Furnished,South -West,2.0,1.0,60000000.0
2.0,700.0,0,mumbai,Ready to Move,4 out of 12,Semi-Furnished,East,2.0,3.0,19100000.0
2.0,950.0,1,mumbai,Ready to Move,7 out of 27,Semi-Furnished,East,2.0,2.0,41500000.0
2.0,650.0,0,mumbai,Ready to Move,8 out of 22,Unfurnished,East,2.0,1.0,11000000.0
3.0,1382.0,1,mumbai,Ready to Move,17 out of 27,Unfurnished,North - East,3.0,3.0,57500000.0
2.0,750.0,1,mumbai,Ready to Move,7 out of 21,Semi-Furnished,East,2.0,1.0,21500000.0
2.0,870.0,0,mumbai,Ready to Move,9 out of 21,Semi-Furnished,East,2.0,2.0,31500000.0
3.0,1350.0,1,mumbai,Ready to Move,35 out of 44,Furnished,North,3.0,3.0,41800000.0
4.0,2300.0,1,mumbai,Ready to Move,24 out of 33,Semi-Furnished,North - East,4.0,4.0,105000000.0
4.0,2500.0,1,mumbai,Ready to Move,25 out of 34,Unfurnished,East,4.0,2.0,89900000.0
1.0,410.0,0,mumbai,Ready to Move,9 out of 16,Semi-Furnished,East,2.0,3.0,12500000.0
1.0,308.0,1,mumbai,Ready to Move,4 out of 7,Unfurnished,North - East,1.0,3.0,2600000.0
3.0,1300.0,1,mumbai,Ready to Move,25 out of 27,Unfurnished,East,3.0,3.0,61000000.0
2.0,650.0,1,mumbai,Ready to Move,3 out of 7,Unfurnished,North - East,2.0,3.0,9500000.0
2.0,805.0,0,mumbai,Ready to Move,11 out of 20,Semi-Furnished,East,2.0,4.0,10000000.0
3.0,1165.0,1,mumbai,Ready to Move,14 out of 24,Unfurnished,East,3.0,1.0,43000000.0
6.0,2418.0,1,mumbai,Ready to Move,25 out of 55,Unfurnished,East,6.0,6.0,68000000.0
2.0,650.0,1,mumbai,Ready to Move,4 out of 7,Unfurnished,East,2.0,1.0,17000000.0
2.0,825.0,1,mumbai,Ready to Move,6 out of 27,Semi-Furnished,North - West,2.0,3.0,28000000.0
4.0,1850.0,1,mumbai,Ready to Move,9 out of 13,Unfurnished,East,5.0,5.0,58500000.0
5.0,1985.0,1,mumbai,Ready to Move,11 out of 13,Unfurnished,North,6.0,6.0,69000000.0
3.0,1080.0,0,mumbai,Ready to Move,17 out of 20,Semi-Furnished,East,3.0,5.0,12800000.0
4.0,2800.0,1,mumbai,Ready to Move,40 out of 60,Semi-Furnished,East,5.0,3.0,147500000.0
2.0,694.0,0,mumbai,Ready to Move,4 out of 21,Unfurnished,East,2.0,2.0,7400000.0
4.0,1700.0,1,mumbai,Ready to Move,10 out of 18,Semi-Furnished,North - East,4.0,1.0,95000000.0
3.0,1091.0,1,mumbai,Ready to Move,40 out of 54,Unfurnished,North - East,3.0,1.0,36500000.0
2.0,570.0,0,mumbai,Ready to Move,5 out of 23,Unfurnished,East,3.0,3.0,5600000.0
2.0,410.0,0,mumbai,Ready to Move,5 out of 14,Unfurnished,East,3.0,3.0,4990000.0
2.0,900.0,1,mumbai,Ready to Move,3 out of 19,Unfurnished,East,2.0,1.0,50000000.0
5.0,2100.0,0,mumbai,Ready to Move,18 out of 18,Unfurnished,West,4.0,4.0,88500000.0
3.0,1225.0,0,mumbai,Ready to Move,Upper Basement out of 7,Unfurnished,East,3.0,2.0,60000000.0
2.0,800.0,1,mumbai,Ready to Move,2 out of 3,Furnished,North,2.0,1.0,30000000.0
4.0,1600.0,1,mumbai,Ready to Move,7 out of 7,Unfurnished,North - West,4.0,3.0,55500000.0
5.0,2264.0,1,mumbai,Ready to Move,21 out of 36,Unfurnished,East,5.0,2.0,105000000.0
4.0,2000.0,1,mumbai,Ready to Move,16 out of 22,Unfurnished,East,4.0,4.0,88500000.0
3.0,1314.0,1,mumbai,Ready to Move,9 out of 27,Semi-Furnished,West,3.0,3.0,58000000.0
3.0,1200.0,1,mumbai,Ready to Move,11 out of 26,Unfurnished,North - East,2.0,3.0,39000000.0
2.0,800.0,1,mumbai,Ready to Move,4 out of 18,Unfurnished,North,2.0,1.0,20000000.0
5.0,2100.0,0,mumbai,Ready to Move,16 out of 28,Furnished,West,5.0,6.0,85000000.0
1.0,435.0,1,mumbai,Ready to Move,8 out of 9,Unfurnished,West,2.0,1.0,3060000.0
2.0,736.0,1,mumbai,Ready to Move,5 out of 14,Unfurnished,East,2.0,3.0,25000000.0
2.0,650.0,1,mumbai,Ready to Move,8 out of 18,Unfurnished,South -West,2.0,3.0,18500000.0
2.0,533.0,1,mumbai,Ready to Move,6 out of 9,Semi-Furnished,East,2.0,1.0,13799999.999999998
4.0,1352.0,1,mumbai,Ready to Move,17 out of 58,Unfurnished,East,4.0,1.0,55000000.0
2.0,866.0,0,mumbai,Ready to Move,10 out of 21,Unfurnished,East,2.0,2.0,25700000.0
1.0,500.0,1,mumbai,Ready to Move,Ground out of 12,Semi-Furnished,East,2.0,1.0,35000000.0
2.0,437.0,1,mumbai,Ready to Move,16 out of 23,Unfurnished,East,2.0,1.0,11500000.0
2.0,927.0,1,mumbai,Ready to Move,22 out of 40,Unfurnished,East,2.0,1.0,32000000.0
3.0,1280.0,0,mumbai,Ready to Move,12 out of 22,Semi-Furnished,West,3.0,1.0,85000000.0
2.0,994.0,1,mumbai,Ready to Move,23 out of 40,Unfurnished,East,2.0,1.0,33500000.0
1.0,440.0,0,mumbai,Ready to Move,12 out of 16,Unfurnished,North - East,2.0,1.0,9900000.0
2.0,750.0,1,mumbai,Ready to Move,11 out of 14,Unfurnished,South - East,2.0,1.0,24900000.000000004
1.0,359.0,0,mumbai,Ready to Move,13 out of 14,Furnished,East,1.0,3.0,3600000.0
4.0,2636.0,0,mumbai,Ready to Move,25 out of 67,Unfurnished,West,5.0,7.0,120000000.0
1.0,390.0,0,mumbai,Ready to Move,5 out of 22,Unfurnished,East,1.0,1.0,3300000.0
4.0,850.0,1,mumbai,Ready to Move,2 out of 13,Unfurnished,East,4.0,1.0,35000000.0
3.0,1154.0,1,mumbai,Ready to Move,8 out of 11,Unfurnished,East,2.0,1.0,41000000.0
3.0,1118.0,1,mumbai,Ready to Move,25 out of 41,Unfurnished,North,3.0,1.0,50000000.0
2.0,760.0,0,mumbai,Ready to Move,7 out of 12,Unfurnished,East,2.0,1.0,33600000.0
3.0,1390.0,1,mumbai,Ready to Move,20 out of 28,Unfurnished,North - East,3.0,1.0,60000000.0
2.0,625.0,1,mumbai,Ready to Move,10 out of 14,Unfurnished,East,2.0,4.0,10800000.0
1.0,269.0,1,mumbai,Ready to Move,4 out of 22,Unfurnished,East,1.0,2.0,7000000.0
1.0,460.0,1,mumbai,Ready to Move,5 out of 7,Semi-Furnished,South - East,2.0,2.0,11500000.0
4.0,2800.0,1,mumbai,Ready to Move,42 out of 60,Unfurnished,West,4.0,4.0,125000000.0
3.0,1075.0,1,mumbai,Ready to Move,18 out of 28,Unfurnished,East,2.0,1.0,38000000.0
3.0,2100.0,1,mumbai,Ready to Move,38 out of 67,Unfurnished,West,3.0,3.0,85000000.0
2.0,762.0,1,mumbai,Ready to Move,26 out of 30,Semi-Furnished,North - East,2.0,3.0,15000000.0
1.0,495.0,1,mumbai,Ready to Move,21 out of 30,Semi-Furnished,North - West,2.0,2.0,9500000.0
2.0,630.0,1,mumbai,Ready to Move,6 out of 30,Semi-Furnished,North - East,2.0,2.0,12800000.0
3.0,1600.0,0,mumbai,Ready to Move,34 out of 91,Semi-Furnished,North - East,3.0,2.0,90000000.0
2.0,720.0,0,mumbai,Ready to Move,7 out of 14,Unfurnished,West,2.0,1.0,16000000.0
2.0,900.0,0,mumbai,Ready to Move,7 out of 32,Unfurnished,East,2.0,1.0,37500000.0
3.0,1367.0,0,mumbai,Ready to Move,17 out of 52,Semi-Furnished,East,5.0,1.0,71500000.0
5.0,2300.0,1,mumbai,Ready to Move,9 out of 20,Semi-Furnished,North - East,4.0,2.0,105000000.0
3.0,1005.0,1,mumbai,Ready to Move,18 out of 21,Furnished,East,2.0,2.0,32500000.0
6.0,3650.0,1,mumbai,Ready to Move,6 out of 15,Semi-Furnished,East,5.0,2.0,165000000.0
4.0,2100.0,0,mumbai,Ready to Move,31 out of 38,Semi-Furnished,West,5.0,5.0,100000000.0
3.0,1900.0,1,mumbai,Ready to Move,10 out of 25,Unfurnished,East,3.0,1.0,65000000.0
3.0,1172.0,1,mumbai,Ready to Move,13 out of 15,Furnished,East,3.0,4.0,28500000.0
2.0,900.0,1,mumbai,Ready to Move,27 out of 47,Unfurnished,West,2.0,1.0,37500000.0
2.0,890.0,1,mumbai,Ready to Move,4 out of 12,Semi-Furnished,South -West,2.0,3.0,41500000.0
2.0,658.0,1,mumbai,Ready to Move,5 out of 13,Unfurnished,East,2.0,3.0,14000000.0
2.0,716.0,0,mumbai,Ready to Move,21 out of 21,Unfurnished,East,2.0,1.0,18600000.0
2.0,935.0,1,mumbai,Ready to Move,20 out of 48,Semi-Furnished,North - East,2.0,1.0,27500000.0
1.0,565.0,1,mumbai,Ready to Move,Ground out of 3,Semi-Furnished,East,2.0,1.0,25000000.0
3.0,850.0,1,mumbai,Ready to Move,2 out of 7,Unfurnished,North - East,2.0,4.0,7500000.0
2.0,850.0,1,mumbai,Ready to Move,12 out of 12,Unfurnished,South,2.0,2.0,14500000.0
3.0,1080.0,0,mumbai,Ready to Move,17 out of 20,Semi-Furnished,East,3.0,5.0,12800000.0
2.0,850.0,1,mumbai,Ready to Move,4 out of 5,Semi-Furnished,East,2.0,3.0,32500000.0
3.0,1150.0,0,mumbai,Ready to Move,16 out of 36,Semi-Furnished,East,3.0,1.0,28900000.0
4.0,2500.0,1,mumbai,Ready to Move,25 out of 37,Unfurnished,North,4.0,3.0,110000000.0
3.0,1800.0,1,mumbai,Ready to Move,2 out of 6,Unfurnished,East,4.0,1.0,160000000.0
3.0,889.0,1,mumbai,Ready to Move,9 out of 27,Semi-Furnished,North - East,2.0,2.0,39200000.0
3.0,912.0,0,mumbai,Ready to Move,11 out of 60,Unfurnished,East,3.0,3.0,28100000.0
3.0,1400.0,1,mumbai,Ready to Move,10 out of 14,Furnished,West,3.0,1.0,75000000.0
3.0,1350.0,1,mumbai,Ready to Move,8 out of 13,Unfurnished,North - East,4.0,3.0,97500000.0
3.0,680.0,0,mumbai,Ready to Move,23 out of 34,Unfurnished,North - East,2.0,4.0,14500000.0
3.0,750.0,1,mumbai,Ready to Move,4 out of 10,Semi-Furnished,North,2.0,5.0,15500000.0
2.0,750.0,1,mumbai,Ready to Move,16 out of 18,Unfurnished,North - West,2.0,4.0,11000000.0
4.0,2000.0,0,mumbai,Ready to Move,15 out of 19,Unfurnished,North - East,4.0,1.0,55000000.0
4.0,2500.0,0,mumbai,Ready to Move,10 out of 16,Unfurnished,East,5.0,4.0,160000000.0
4.0,1400.0,1,mumbai,Ready to Move,14 out of 21,Semi-Furnished,East,4.0,6.0,56000000.0
2.0,800.0,0,mumbai,Ready to Move,5 out of 55,Unfurnished,North - East,2.0,2.0,16000000.0
1.0,425.0,1,mumbai,Ready to Move,2 out of 7,Unfurnished,North,2.0,1.0,10500000.0
2.0,700.0,1,mumbai,Ready to Move,7 out of 7,Semi-Furnished,West,2.0,3.0,5200000.0
1.0,380.0,1,mumbai,Ready to Move,7 out of 7,Unfurnished,East,1.0,2.0,6800000.0
4.0,3500.0,1,mumbai,Ready to Move,6 out of 12,Semi-Furnished,West,3.0,5.0,270000000.0
4.0,1275.0,1,mumbai,Ready to Move,1 out of 8,Unfurnished,East,4.0,1.0,40000000.0
3.0,1185.0,1,mumbai,Ready to Move,8 out of 21,Unfurnished,East,3.0,1.0,34000000.0
6.0,4200.0,0,mumbai,Ready to Move,75 out of 91,Unfurnished,North - East,6.0,2.0,220000000.0
2.0,780.0,1,mumbai,Ready to Move,5 out of 12,Unfurnished,East,2.0,1.0,21000000.0
2.0,850.0,1,mumbai,Ready to Move,18 out of 41,Unfurnished,East,2.0,1.0,37000000.0
2.0,840.0,0,mumbai,Ready to Move,12 out of 22,Unfurnished,East,2.0,1.0,14000000.0
3.0,1156.0,1,mumbai,Ready to Move,33 out of 40,Semi-Furnished,North,3.0,3.0,34000000.0
3.0,1075.0,1,mumbai,Ready to Move,10 out of 28,Unfurnished,East,2.0,1.0,37500000.0
2.0,750.0,1,mumbai,Ready to Move,10 out of 21,Semi-Furnished,East,2.0,1.0,21000000.0
4.0,1600.0,1,mumbai,Ready to Move,34 out of 36,Semi-Furnished,East,4.0,2.0,100000000.0
2.0,554.0,1,mumbai,Ready to Move,7 out of 11,Semi-Furnished,West,2.0,2.0,15200000.0
4.0,1208.0,1,mumbai,Ready to Move,12 out of 18,Semi-Furnished,North - East,3.0,1.0,58000000.0
2.0,761.0,0,mumbai,Ready to Move,15 out of 23,Unfurnished,East,2.0,1.0,19800000.0
2.0,805.0,0,mumbai,Ready to Move,2 out of 2,Semi-Furnished,East,2.0,2.0,10000000.0
2.0,650.0,1,mumbai,Ready to Move,9 out of 12,Semi-Furnished,East,2.0,1.0,22500000.0
2.0,700.0,1,mumbai,Ready to Move,4 out of 7,Unfurnished,East,2.0,2.0,8500000.0
3.0,1100.0,1,mumbai,Ready to Move,26 out of 36,Unfurnished,East,3.0,1.0,58000000.0
1.0,480.0,1,mumbai,Ready to Move,12 out of 18,Semi-Furnished,North - East,1.0,1.0,17700000.0
1.0,430.0,1,mumbai,Ready to Move,5 out of 17,Semi-Furnished,North,2.0,2.0,4000000.0
3.0,1500.0,1,mumbai,Ready to Move,15 out of 22,Semi-Furnished,West,3.0,5.0,53000000.0
7.0,2150.0,0,mumbai,Ready to Move,20 out of 22,Semi-Furnished,North - West,6.0,4.0,75000000.0
3.0,1368.0,1,mumbai,Ready to Move,2 out of 17,Furnished,North,4.0,1.0,40000000.0
2.0,690.0,0,mumbai,Ready to Move,10 out of 18,Semi-Furnished,East,2.0,4.0,9250000.0
3.0,950.0,1,mumbai,Ready to Move,2 out of 22,Semi-Furnished,East,2.0,1.0,32500000.0
3.0,1100.0,1,mumbai,Ready to Move,15 out of 23,Unfurnished,East,3.0,3.0,37500000.0
2.0,735.0,1,mumbai,Ready to Move,15 out of 36,Semi-Furnished,East,2.0,2.0,20000000.0
3.0,750.0,1,mumbai,Ready to Move,10 out of 21,Unfurnished,East,2.0,1.0,30000000.0
2.0,828.0,0,mumbai,Ready to Move,7 out of 17,Unfurnished,North - West,2.0,1.0,21500000.0
2.0,700.0,1,mumbai,Ready to Move,5 out of 15,Unfurnished,West,2.0,1.0,20500000.0
3.0,1180.0,1,mumbai,Ready to Move,5 out of 8,Furnished,East,3.0,2.0,65000000.0
3.0,960.0,1,mumbai,Ready to Move,1 out of 8,Semi-Furnished,West,3.0,1.0,27000000.0
3.0,1088.0,0,mumbai,Ready to Move,21 out of 37,Unfurnished,North,3.0,3.0,31000000.0
2.0,680.0,0,mumbai,Ready to Move,14 out of 20,Unfurnished,East,2.0,4.0,8700000.0
1.0,480.0,1,mumbai,Ready to Move,2 out of 3,Furnished,East,2.0,1.0,3700000.0
1.0,420.0,1,mumbai,Ready to Move,7 out of 15,Semi-Furnished,East,1.0,1.0,11500000.0
4.0,1800.0,1,mumbai,Ready to Move,21 out of 21,Unfurnished,East,4.0,1.0,92500000.0
3.0,1050.0,1,mumbai,Ready to Move,39 out of 42,Unfurnished,North,2.0,1.0,37500000.0
2.0,700.0,1,mumbai,Ready to Move,7 out of 20,Unfurnished,East,2.0,3.0,21000000.0
3.0,1100.0,1,mumbai,Ready to Move,16 out of 28,Furnished,North,3.0,1.0,33500000.0
2.0,888.0,1,mumbai,Ready to Move,14 out of 22,Unfurnished,East,2.0,1.0,30000000.0
3.0,1300.0,1,mumbai,Ready to Move,5 out of 27,Unfurnished,West,3.0,2.0,35000000.0
4.0,2005.0,0,mumbai,Ready to Move,10 out of 23,Semi-Furnished,East,4.0,4.0,73500000.0
2.0,650.0,1,mumbai,Ready to Move,4 out of 22,Unfurnished,East,2.0,1.0,19000000.0
3.0,1008.0,1,mumbai,Ready to Move,15 out of 22,Semi-Furnished,East,3.0,1.0,22500000.0
1.0,380.0,1,mumbai,Ready to Move,8 out of 14,Semi-Furnished,East,2.0,2.0,3600000.0
2.0,614.0,1,mumbai,Ready to Move,2 out of 7,Unfurnished,South -West,2.0,2.0,7000000.0
1.0,419.0,1,mumbai,Ready to Move,6 out of 18,Furnished,East,2.0,3.0,9500000.0
2.0,665.0,1,mumbai,Ready to Move,7 out of 20,Semi-Furnished,West,2.0,1.0,16800000.0
5.0,2850.0,1,mumbai,Ready to Move,14 out of 35,Unfurnished,North,5.0,1.0,125000000.0
3.0,1458.0,0,mumbai,Ready to Move,10 out of 16,Unfurnished,West,3.0,1.0,68500000.0
3.0,1272.0,1,mumbai,Ready to Move,12 out of 27,Unfurnished,East,4.0,1.0,56000000.0
3.0,1002.0,0,mumbai,Ready to Move,30 out of 34,Semi-Furnished,East,3.0,3.0,23600000.0
4.0,2220.0,1,mumbai,Ready to Move,8 out of 18,Semi-Furnished,North,1.0,1.0,75000000.0
4.0,3700.0,1,mumbai,Ready to Move,15 out of 21,Furnished,East,5.0,3.0,230000000.0
1.0,466.0,1,mumbai,Ready to Move,7 out of 14,Unfurnished,North - East,2.0,3.0,4000000.0
2.0,750.0,1,mumbai,Ready to Move,5 out of 17,Furnished,North,2.0,1.0,25000000.0
2.0,985.0,1,mumbai,Ready to Move,3 out of 8,Furnished,East,2.0,1.0,18500000.0
3.0,1000.0,1,mumbai,Ready to Move,7 out of 7,Unfurnished,East,3.0,4.0,27000000.0
1.0,500.0,1,mumbai,Ready to Move,1 out of 7,Semi-Furnished,East,2.0,3.0,10700000.0
3.0,1600.0,0,mumbai,Ready to Move,44 out of 91,Semi-Furnished,North - East,3.0,2.0,132000000.0
1.0,455.0,1,mumbai,Ready to Move,12 out of 22,Unfurnished,East,2.0,1.0,7200000.0
8.0,2950.0,0,mumbai,Ready to Move,1 out of 10,Furnished,East,7.0,1.0,85000000.0
1.0,425.0,1,mumbai,Ready to Move,3 out of 7,Semi-Furnished,North - East,2.0,2.0,4700000.0
4.0,1800.0,0,mumbai,Ready to Move,32 out of 42,Unfurnished,East,4.0,1.0,81500000.0
2.0,615.0,0,mumbai,Ready to Move,2 out of 14,Unfurnished,North - East,2.0,1.0,6000000.0
2.0,710.0,1,mumbai,Ready to Move,4 out of 20,Semi-Furnished,East,2.0,3.0,22500000.0
3.0,1048.0,0,mumbai,Ready to Move,16 out of 44,Unfurnished,South - East,3.0,1.0,32500000.0
4.0,1580.0,1,mumbai,Ready to Move,4 out of 22,Furnished,East,5.0,2.0,57500000.0
3.0,1255.0,1,mumbai,Ready to Move,34 out of 53,Unfurnished,East,3.0,2.0,32500000.0
3.0,1000.0,1,mumbai,Ready to Move,6 out of 7,Unfurnished,East,3.0,2.0,32000000.0
2.0,840.0,1,mumbai,Ready to Move,4 out of 22,Unfurnished,East,2.0,2.0,34000000.0
4.0,2000.0,0,mumbai,Ready to Move,16 out of 40,Unfurnished,East,4.0,4.0,80399999.99999999
3.0,1000.0,1,mumbai,Ready to Move,5 out of 7,Semi-Furnished,East,3.0,1.0,22500000.0
2.0,745.0,1,mumbai,Ready to Move,5 out of 14,Semi-Furnished,East,2.0,3.0,31500000.0
3.0,1359.0,1,mumbai,Ready to Move,16 out of 29,Unfurnished,East,3.0,1.0,32200000.000000004
2.0,650.0,1,mumbai,Ready to Move,2 out of 21,Unfurnished,South -West,2.0,4.0,12500000.0
1.0,486.0,1,mumbai,Ready to Move,10 out of 14,Semi-Furnished,North - East,2.0,1.0,3650000.0
2.0,905.0,0,mumbai,Ready to Move,11 out of 40,Unfurnished,North - East,2.0,1.0,47699999.99999999
2.0,492.0,0,mumbai,Ready to Move,7 out of 18,Semi-Furnished,East,2.0,2.0,4700000.0
3.0,174.0,0,mumbai,Ready to Move,30 out of 36,Unfurnished,East,3.0,2.0,28000000.0
2.0,760.0,1,mumbai,Ready to Move,10 out of 10,Semi-Furnished,North,2.0,2.0,16800000.0
2.0,710.0,1,mumbai,Ready to Move,5 out of 14,Semi-Furnished,East,2.0,2.0,19000000.0
4.0,2320.0,1,mumbai,Ready to Move,7 out of 18,Semi-Furnished,North - West,1.0,1.0,70000000.0
2.0,495.0,1,mumbai,Ready to Move,4 out of 17,Unfurnished,East,2.0,1.0,13300000.0
3.0,1068.0,1,mumbai,Ready to Move,7 out of 21,Semi-Furnished,East,2.0,1.0,30000000.0
3.0,1000.0,1,mumbai,Ready to Move,15 out of 28,Unfurnished,East,2.0,1.0,28500000.0
2.0,912.0,1,mumbai,Ready to Move,25 out of 45,Semi-Furnished,East,2.0,2.0,28500000.0
2.0,982.0,1,mumbai,Ready to Move,25 out of 34,Unfurnished,East,2.0,2.0,24000000.0
3.0,1131.0,1,mumbai,Ready to Move,29 out of 34,Unfurnished,West,3.0,3.0,29000000.0
4.0,1800.0,0,mumbai,Ready to Move,8 out of 17,Unfurnished,East,4.0,5.0,40599999.99999999
5.0,2300.0,1,mumbai,Ready to Move,8 out of 20,Semi-Furnished,North - East,5.0,2.0,106000000.0
4.0,2075.0,1,mumbai,Ready to Move,27 out of 54,Unfurnished,East,5.0,2.0,88500000.0
1.0,350.0,1,mumbai,Ready to Move,7 out of 7,Unfurnished,East,1.0,1.0,8000000.0
2.0,955.0,1,mumbai,Ready to Move,32 out of 44,Semi-Furnished,East,2.0,3.0,29900000.000000004
2.0,753.0,1,mumbai,Ready to Move,5 out of 11,Unfurnished,East,2.0,1.0,24900000.000000004
3.0,1050.0,1,mumbai,Ready to Move,9 out of 21,Unfurnished,West,3.0,2.0,32100000.0
2.0,690.0,1,mumbai,Ready to Move,8 out of 9,Semi-Furnished,East,2.0,1.0,18000000.0
3.0,1375.0,1,mumbai,Ready to Move,1 out of 9,Furnished,East,4.0,1.0,48500000.0
3.0,1500.0,1,mumbai,Ready to Move,10 out of 15,Unfurnished,North - East,3.0,1.0,34600000.0
2.0,783.0,0,mumbai,Ready to Move,19 out of 22,Unfurnished,West,2.0,1.0,24900000.000000004
3.0,1280.0,1,mumbai,Ready to Move,2 out of 25,Unfurnished,East,3.0,3.0,35000000.0
3.0,1130.0,1,mumbai,Ready to Move,11 out of 15,Semi-Furnished,North - East,3.0,3.0,33500000.0
1.0,400.0,1,mumbai,Ready to Move,1 out of 13,Unfurnished,East,2.0,2.0,6200000.0
2.0,606.0,1,mumbai,Ready to Move,1 out of 5,Furnished,West,2.0,1.0,20000000.0
2.0,675.0,1,mumbai,Ready to Move,2 out of 13,Unfurnished,North,2.0,1.0,9800000.0
2.0,600.0,1,mumbai,Ready to Move,3 out of 7,Unfurnished,East,2.0,3.0,8800000.0
4.0,1128.0,0,mumbai,Ready to Move,17 out of 37,Unfurnished,East,4.0,1.0,46700000.0
2.0,925.0,1,mumbai,Ready to Move,16 out of 43,Unfurnished,East,2.0,3.0,28500000.0
2.0,925.0,1,mumbai,Ready to Move,30 out of 43,Unfurnished,West,2.0,3.0,29000000.0
3.0,1330.0,1,mumbai,Ready to Move,34 out of 43,Unfurnished,East,4.0,4.0,38500000.0
2.0,1100.0,1,mumbai,Ready to Move,35 out of 43,Unfurnished,East,2.0,4.0,35000000.0
1.0,486.0,1,mumbai,Ready to Move,12 out of 43,Unfurnished,South,1.0,2.0,15500000.0
3.0,735.0,0,mumbai,Ready to Move,10 out of 20,Unfurnished,East,2.0,4.0,11500000.0
2.0,650.0,1,mumbai,Ready to Move,4 out of 8,Semi-Furnished,East,2.0,3.0,12500000.0
3.0,811.0,0,mumbai,Ready to Move,10 out of 20,Unfurnished,North - East,3.0,5.0,13000000.0
2.0,1400.0,1,mumbai,Ready to Move,8 out of 16,Semi-Furnished,East,3.0,1.0,92500000.0
2.0,913.0,0,mumbai,Ready to Move,3 out of 31,Unfurnished,East,2.0,1.0,34000000.0
4.0,2500.0,1,mumbai,Ready to Move,28 out of 56,Unfurnished,West,4.0,1.0,168000000.0
2.0,750.0,1,mumbai,Ready to Move,4 out of 7,Semi-Furnished,East,2.0,1.0,17500000.0
3.0,1050.0,1,mumbai,Ready to Move,1 out of 7,Furnished,East,3.0,1.0,28500000.0
8.0,4200.0,1,mumbai,Ready to Move,46 out of 55,Unfurnished,East,9.0,2.0,300000000.0
1.0,480.0,0,mumbai,Ready to Move,11 out of 14,Semi-Furnished,East,2.0,3.0,6500000.0
2.0,650.0,1,mumbai,Ready to Move,10 out of 22,Unfurnished,East,2.0,2.0,9950000.0
3.0,1120.0,0,mumbai,Ready to Move,19 out of 35,Unfurnished,East,4.0,1.0,38500000.0
2.0,750.0,1,mumbai,Ready to Move,11 out of 24,Unfurnished,East,2.0,1.0,29000000.0
2.0,732.0,1,mumbai,Ready to Move,25 out of 40,Semi-Furnished,North - East,2.0,1.0,43500000.0
3.0,1201.0,1,mumbai,Ready to Move,18 out of 42,Unfurnished,East,1.0,1.0,40000000.0
2.0,970.0,1,mumbai,Ready to Move,6 out of 34,Semi-Furnished,East,2.0,1.0,32500000.0
2.0,720.0,1,mumbai,Ready to Move,9 out of 18,Unfurnished,East,2.0,2.0,17500000.0
2.0,680.0,1,mumbai,Ready to Move,6 out of 7,Semi-Furnished,East,2.0,4.0,8500000.0
3.0,1510.0,0,mumbai,Ready to Move,15 out of 35,Unfurnished,West,5.0,1.0,90000000.0
